"Location","1990","2000","2010","2020","2030","2040","2050"
"Afghanistan",9485.64956813895,10743.1474593369,11587.7559489324,14523.9698297767,19368.7654044534,29450.9725115349,45028.2610502289
"Angola",4873.03660707749,6103.73706645225,8349.15034017788,12505.9217574649,18571.1701936838,28659.3503091231,43822.0566940149
"Albania",2534.26746382341,2916.75225912229,3281.10085965118,4285.55187315566,5317.9507256008,6657.10688974931,7516.47418484398
"Andorra",106.737403410501,155.426028516721,200.192903781505,188.407595125793,261.57116578297,348.710079715598,422.333303298712
"United Arab Emirates",697.802303891424,1204.47106742363,2333.52763147635,3534.89147249849,10906.8679012375,25842.8270316081,50535.2917904174
"Argentina",54575.577010772,67488.1401950002,74648.518708468,78158.7337997642,89407.9035561259,111309.727864693,134283.953950686
"Armenia",4236.03615810291,4545.54765664294,5672.40665663883,5616.13565220757,6418.89853405566,7516.93584972379,8187.8811929971
"American Samoa",28.7305466036028,40.1382876780088,54.977008127402,69.3041643875956,86.0115153593154,110.25941162156,131.823324142959
"Antigua and Barbuda",75.7914162668117,87.9266501753084,111.515052392565,127.877898047311,181.022512611022,240.050346253363,295.70991593549
"Australia",32444.0556199968,38242.1447946906,44113.2074550989,51162.8106108787,69137.5631806069,88102.1223575171,103989.642343314
"Austria",20312.5139882556,19491.4873342998,20856.7668510992,22598.6680540105,24602.0543460504,28859.7989835611,33161.3720956958
"Azerbaijan",6471.85953452778,6813.26595659475,8496.70564975826,9654.17457085717,13049.1948847767,17281.9864828289,20827.333097986
"Burundi",3615.37682090405,3615.66929354775,3790.15773489147,5144.62568196718,6951.24625329908,10225.4345723035,15122.5646085685
"Belgium",30293.3060217689,29678.8429878622,30757.6866374685,30847.7163113566,35306.8740210502,40943.4918554087,44889.3706381076
"Benin",1910.57815301729,2502.89673695478,3330.96545168654,4485.33432258246,6305.14996668137,9507.74266059976,14701.438513575
"Burkina Faso",4620.34439124976,5525.24579345272,6963.05001123727,9451.98676439779,12481.8506662729,17959.8861584596,26941.6771808322
"Bangladesh",43709.2891814496,46648.3636016822,61228.0092240614,83070.4581133837,108540.393876495,140897.180010293,179814.739314915
"Bulgaria",18163.4191044518,19232.6143559746,20857.441731823,23057.31162654,21928.2428704703,21882.061713832,21253.7274077904
"Bahrain",249.40603240906,340.559584993745,496.527984179239,754.740946206775,1467.46742054311,2792.70253280625,4859.86060509971
"Bahamas",242.49749509782,330.031436123065,454.017858048654,589.537181132664,789.15342504766,1044.78394041261,1265.7849450373
"Bosnia and Herzegovina",5688.39402559277,7015.05186313747,8753.70597980259,9491.02148190556,9950.12439463342,11295.6981391257,11792.662213983
"Belarus",19235.9100031461,21455.5097880342,20406.4067065451,20255.5388355727,22833.4200034839,26079.8186311838,28072.8130284249
"Belize",82.6956818555665,161.504689589735,203.7094964896,279.78137829087,414.511328246605,609.179212848962,850.95703670974
"Bermuda",126.845445307284,123.258965579185,145.661943112465,169.956087631248,210.403653792404,258.724308369085,293.714094931898
"Bolivia (Plurinational State of)",5983.06676426367,7999.10881929862,10605.562486805,13702.0678077865,16666.6961255358,22690.9345654716,30142.8204166638
"Brazil",111626.845504503,157084.71554859,209535.13760584,274527.174108958,354213.986478193,457650.757898979,561412.008242374
"Barbados",454.198935797182,513.111854674056,614.234606744855,754.335579934453,884.088416320495,1030.43161683887,1096.9199187378
"Brunei Darussalam",200.56279755562,224.11825479423,303.121068986878,444.297882431057,695.339354398276,1055.26794741312,1456.1100474341
"Bhutan",205.324727734829,247.301300477514,306.727954449875,402.563296670324,540.319271701709,759.814171806864,1063.95900404197
"Botswana",708.557536166401,1094.18225648222,1441.14666585999,1702.594548454,2345.19909941706,3504.21707328841,5094.21052001472
"Central African Republic",1615.29260141546,1947.44580705699,2218.03380813822,2694.37720132656,3173.54611532928,4110.58285864065,5250.33690644842
"Canada",55202.7213054594,65036.3019791583,77420.4972173915,86596.7258664325,113490.761387462,143955.310708211,163593.221088539
"Switzerland",14744.1257315054,16209.2295521877,17502.7235763541,19228.3637911588,23450.3787945366,28491.6283149342,33194.0161787715
"Chile",16242.0731341414,20215.2069637235,25183.5012925459,28772.4854793816,37796.6509182556,49719.0907950452,61302.8879414563
"Côte d'Ivoire",2961.66020093047,4679.74176617959,5871.3828274665,7949.57202496114,11920.061841661,18911.284902528,29539.4769742666
"Cameroon",4519.95673510735,6518.18917424979,9341.9674237305,12764.8585433018,17940.6287635366,26903.4984580721,40341.3832514127
"Democratic Republic of the Congo",15394.7112329467,18505.350516855,23162.322141104,33433.7070383863,47762.8897572281,71029.2191808455,103970.067454692
"Congo",1599.57402406501,1993.12631948758,2368.17826852893,3353.09378754406,4685.14581772618,6813.47389357527,9477.52881450601
"Cook Islands",16.2594930161818,19.6180238405464,23.4795820530435,30.070762019707,36.2278643641181,43.4579203157583,48.936219529556
"Colombia",23576.5428735933,30118.631305385,38839.9612160745,51077.7139636528,66721.7507441039,88575.5881758146,111783.654804421
"Comoros",271.390065742458,348.705064311864,400.428492358062,577.542420272614,759.296809329447,1019.89557207816,1337.54949008103
"Cabo Verde",254.523926986149,356.406876809423,413.624364547542,637.951433746203,805.295585157703,1181.34526989908,1634.77103339689
