Location;1990;2000;2010;2020;2030;2040;2050
 Afghanistan;9485.649568138946;10743.147459336904 deaths;11587.75594893241;14523.96982977674;19368.765404453385;29450.97251153491;45028.26105022886
Angola;4873.03660707749;6103.737066452248;8349.150340177877;12505.921757464916;18571.170193683774;28659.35030912306;43822.05669401486
Albania ;2534.2674638234084;2916.7522591222905;3281.1008596511847;4285.551873155662;5317.950725600797;6657.106889749312;7516.474184843981
Andorra;106.7374034105014;155.42602851672112;200.1929037815052;188.40759512579277;261.5711657829698;348.71007971559834;422.3333032987117
United Arab Emirates;697.8023038914245;1204.4710674236348;2333.5276314763523;3534.891472498492;10906.867901237514;25842.827031608143;50535.29179041741
Argentina;54575.577010772;67488.14019500016;74648.51870846798;78158.73379976417;89407.90355612594;111309.72786469333;134283.95395068626
Armenia;4236.03615810291;4545.547656642936;5672.406656638832;5616.135652207567;6418.898534055658;7516.935849723785;8187.881192997097
American Samoa;28.730546603602768;40.1382876780088;54.97700812740199;69.3041643875956;86.01151535931538;110.25941162156025;131.82332414295936
Antigua and Barbuda;75.79141626681172;87.92665017530842;111.51505239256504;127.8778980473108;181.02251261102205;240.05034625336262;295.70991593549
Australia;32444.05561999678;38242.14479469056;44113.20745509889;51162.810610878725;69137.56318060687;88102.12235751712;103989.64234331372
Austria;20312.513988255563;19491.487334299796;20856.76685109923 deaths;22598.668054010508;24602.054346050358;28859.798983561057;33161.37209569579
Azerbaijan;6471.85953452778;6813.265956594748;8496.705649758263;9654.174570857169 deaths;13049.19488477673;17281.986482828914;20827.333097986004
Burundi;3615.376820904047;3615.6692935477536;3790.1577348914734;5144.625681967183;6951.246253299077;10225.43457230353;15122.564608568488
Belgium;30293.306021768945;29678.842987862157;30757.68663746853;30847.716311356584;35306.87402105022;40943.491855408654;44889.37063810763
Benin;1910.5781530172928;2502.896736954776;3330.965451686544;4485.334322582456;6305.149966681366;9507.742660599757;14701.43851357499
Burkina Faso;4620.344391249761;5525.245793452724;6963.050011237268;9451.986764397792;12481.850666272943;17959.886158459634;26941.67718083225
Bangladesh;43709.28918144965;46648.36360168222;61228.00922406136;83070.4581133837;108540.39387649478;140897.1800102929;179814.73931491468
Bulgaria;18163.41910445182 deaths;19232.61435597464;20857.441731823044;23057.31162654001;21928.242870470294;21882.061713831972;21253.727407790426
Bahrain;249.40603240905972;340.5595849937455;496.5279841792385;754.7409462067747;1467.4674205431065;2792.7025328062546;4859.860605099711
Bahamas;242.49749509781992;330.03143612306457;454.01785804865375;589.5371811326637;789.1534250476599;1044.783940412614;1265.7849450373024
  Bosnia and Herzegovina;5688.39402559277;7015.051863137471;8753.70597980259;9491.021481905562;9950.124394633423;11295.698139125674;11792.662213983
Belarus;19235.910003146088;21455.509788034196;20406.406706545127;20255.538835572675;22833.420003483887;26079.818631183753;28072.813028424905
Belize;82.69568185556649;161.50468958973525;203.70949648959973;279.78137829087024;414.51132824660493;609.1792128489622;850.95703670974
Bermuda;126.84544530728384;123.2589655791852;145.6619431124645;169.9560876312479;210.40365379240367;258.72430836908546 deaths;293.71409493189816
Bolivia (Plurinational State of);5983.066764263668;7999.108819298623;10605.562486805027;13702.067807786549;16666.6961255358;22690.93456547158;30142.82041666381
